de0          de20         de40         de60         de80         de100
-34.541279   -37.663025   -40.612373   -33.376099   -37.959915   -39.232059 
-34.576752   -34.329994   -40.473148   -33.442505   -37.999386   -39.409714 
-35.119926   -34.498650   -39.815231   -33.208267   -38.714859   -39.904205 
-35.119926   -35.980217   -39.692116   -33.346119   -37.861198   -38.414227 
-34.837059   -35.312813   -38.754963   -33.462009   -37.452408   -36.491905 
-34.613960   -34.892159   -37.691299   -33.462009   -37.063965   -36.467354 
-34.613960   -34.916664   -36.900604   -33.388813   -37.126667   -36.467354 
-34.396965   -34.916222   -34.491489   -32.385429   -36.923405   -33.184097 
-34.882992   -34.532906   -33.847015   -31.740528   -34.736416   -33.256313 
-35.616894   -32.272682   -33.607826   -30.884113   -34.036724   -32.235714 
-35.732677   -30.943781   -33.419361   -29.877390   -30.966125   -32.695534 
-36.418362   -30.718075   -31.554523   -29.834009   -30.390106   -33.000202 
-36.228256   -29.049652   -30.701000   -29.222986   -30.019947   -32.328785 
-35.853477   -29.049652   -30.658875   -26.591290   -28.300650   -32.193306 
-34.562908   -29.124563   -31.150227   -25.783932   -28.742664   -31.800724 
-33.872150   -28.733419   -30.393555   -23.931238   -27.696421   -30.379467 
-33.872150   -28.686228   -31.037552   -22.285328   -27.596899   -29.286549 
-33.746849   -27.926605   -31.037552   -23.582914   -27.002975   -27.685856 
-34.007824   -27.272564   -30.359488   -23.447033   -26.857513   -27.493473 
-33.787052   -27.024715   -29.095654   -23.176746   -25.937033   -27.738424 
-33.176109   -25.900122   -27.772503   -23.161289   -24.901655   -26.533484 
-32.572678   -25.760275   -27.664043   -23.034908   -24.040249   -25.205002 
-32.313602   -24.866550   -28.000305   -23.034908   -22.826017   -25.071712 
-32.105824   -24.761166   -27.767151   -22.917147   -22.375971   -25.212681 
-31.606314   -23.551945   -27.347839   -22.744148   -22.005350   -25.477158 
-31.428940   -22.972057   -25.822998   -23.063658   -21.829054   -24.599409 
-31.104305   -22.276087   -24.895443   -23.047148   -21.869354   -23.532850 
-30.822968   -21.984949   -24.395573   -23.111992   -22.287771   -23.393791 
-30.822968   -21.979717   -23.468681   -22.208010   -21.755400   -22.580198 
-30.459219   -22.121078   -23.277575   -20.526674   -21.497858   -22.485163 
-30.128937   -21.855469   -23.390594   -20.526674   -21.076990   -21.935720 
-29.569153   -21.122467   -22.777435   -20.527124   -21.500856   -21.006969 
-28.175217   -21.210257   -22.219728   -20.222290   -21.462791   -20.169222 
-28.165808   -20.390995   -21.813580   -19.482822   -20.761135   -19.868004 
-27.774139   -20.305346   -21.637152   -19.375256   -20.025494   -19.584974 
-27.150379   -20.951534   -21.596161   -18.637272   -19.415401   -18.720694 
-27.129303   -20.237646   -21.167322   -18.490534   -19.139891   -18.554626 
-26.912516   -19.762209   -21.167322   -18.110384   -19.835648   -18.283487 
-26.733112   -19.628880   -21.064650   -17.945004   -18.632097   -17.581429 
-26.105566   -19.518078   -21.064650   -17.486927   -18.457293   -16.985279 
-26.105566   -19.388311   -20.564053   -17.416340   -18.288782   -16.827246 
-26.014462   -19.648926   -19.602077   -17.293768   -18.451042   -16.827246 
-26.014462   -19.648926   -19.543142   -17.040501   -18.091198   -16.442602 
-25.895462   -19.048248   -19.730108   -16.765745   -17.558943   -15.868505 
-25.819727   -18.891413   -19.690506   -17.144398   -17.492100   -16.108097 
-25.734415   -18.256321   -19.426586   -17.390663   -17.599163   -16.564463 
-25.101429   -18.242847   -19.191397   -17.465900   -16.965490   -16.321619 
-24.485622   -17.973932   -18.880360   -17.111103   -16.714544   -15.436584 
-23.905331   -18.046091   -18.675842   -16.839298   -16.435329   -15.628985 
-24.163120   -18.070625   -18.352341   -16.517841   -16.565592   -15.628985 
-24.340824   -18.335951   -17.870571   -16.228033   -15.874265   -15.282906 
-23.893068   -18.218668   -17.562048   -15.449152   -15.621472   -14.986694 
-23.579575   -17.815035   -17.171597   -14.831938   -15.917566   -15.342603 
-23.438263   -17.727787   -16.410503   -14.854843   -15.917566   -15.088991 
-22.890118   -17.706020   -16.617945   -15.444264   -15.308393   -15.411081 
-22.878460   -17.359104   -16.340824   -15.381943   -15.170039   -15.423933 
-22.837255   -16.442223   -16.037228   -15.099571   -14.997536   -14.854218 
-22.562998   -16.402851   -16.024475   -15.202454   -15.265246   -14.865349 
-22.187317   -16.076780   -15.699102   -14.445730   -15.180448   -14.490013 
-22.110035   -15.914881   -15.677264   -13.957303   -15.118894   -14.289248 
-22.298546   -15.772936   -15.367163   -14.063620   -14.755583   -14.002459 
-21.384995   -15.890921   -15.480829   -13.839557   -14.766208   -12.889185 
-21.125856   -16.237072   -15.305450   -13.696042   -13.937548   -13.394165 
-20.962677   -16.204071   -15.072174   -13.445452   -13.825052   -13.275426 
-20.932564   -15.193746   -14.533984   -13.249684   -13.353651   -13.239919 
-20.849043   -14.761625   -14.616302   -13.106410   -13.100986   -13.264410 
-20.849043   -14.843318   -14.423971   -12.997246   -13.158094   -12.751466 
-20.701210   -15.007135   -14.232495   -12.581677   -13.050524   -12.691639 
-20.703337   -14.895543   -14.194433   -12.606810   -13.008718   -12.870456 
-20.053078   -14.873270   -14.038717   -12.402755   -12.523539   -12.624432 
-20.055683   -14.757383   -13.835218   -12.214667   -12.318690   -12.148365 
-19.337196   -14.451759   -13.842817   -12.175261   -12.376818   -11.701888 
-19.131041   -14.461490   -13.531964   -12.107549   -12.147615   -12.243205 
-19.151836   -14.360499   -13.371056   -12.164503   -11.659154   -12.150047 
-19.026005   -14.360499   -13.015570   -12.068665   -11.569778   -12.156842 
-18.975073   -14.053111   -12.926280   -12.015875   -11.820088   -12.111609 
-19.517843   -13.965170   -12.813608   -12.098002   -11.850775   -11.982157 
-19.517843   -13.874723   -12.764013   -12.058290   -11.850775   -11.393229 
-19.354050   -13.799036   -12.735580   -12.021906   -12.001085   -11.339967 
-18.937458   -13.959581   -12.770834   -12.050223   -12.006819   -10.965814 
-18.929068   -13.959581   -12.651230   -11.838229   -11.865885   -10.520598 
-18.822239   -13.910278   -12.528025   -11.356932   -11.616478   -10.520598 
-18.794270   -13.875066   -12.381791   -11.381162   -11.340616   -10.440897 
-18.213682   -13.292543   -12.024921   -11.045499   -11.329925   -10.452687 
