pop50        pop100        pop200      pop300       pop400         pop500
-57.501575   -47.096786    -41.601692  -32.821358   -34.7905960  -38.227520
-56.837074   -44.404121    -41.266323  -32.076454   -34.2454300  -36.905174
-54.234428   -46.403347    -41.675846  -32.142651   -31.6896150  -33.094910
-53.862774   -44.749100    -41.675846  -30.201014   -31.6158330  -32.610981
-54.703197   -44.528828    -39.583439  -30.192059   -30.1987190  -32.045784
-57.312233   -43.685036    -39.815712  -30.881763   -29.3186990  -33.494057
-55.613514   -43.198341    -39.613621  -30.721136   -29.3920948  -32.758507
-53.815418   -43.104454    -39.191341  -30.354259   -29.0411268  -31.436527
-52.748451   -42.695732    -39.109489  -28.226419   -29.0038958  -31.675150
-53.675636   -42.966534    -37.838215  -30.666340   -30.5651591  -31.411060
-49.509922   -40.942200    -37.248165  -30.212250   -29.1478771  -31.085623
-48.471165   -40.884655    -36.535343  -30.131092   -29.2607271  -30.900183
-46.815674   -39.998619    -35.021797  -29.250885   -28.0769001  -29.687674
-46.945843   -39.600819    -35.181343  -29.381872   -27.0750471  -28.755838
-45.613914   -39.155365    -34.816284  -27.743668   -26.6827451  -28.487513
-45.543236   -38.419277    -33.682743  -26.973566   -26.3840227  -27.718027
-42.871605   -36.774929    -32.488762  -27.605051   -26.0234937  -27.086025
-41.329460   -35.032806    -31.311346  -28.344532   -25.2440247  -25.495470
-41.112492   -34.323135    -28.829128  -27.183559   -25.0423767  -25.461033
-40.378216   -33.633553    -28.934978  -27.173040   -24.8327527  -25.270977
-39.979664   -33.579739    -28.595837  -26.565159   -24.8261037  -24.199429
-38.806580   -33.018738    -28.552999  -25.237844   -23.7541437  -23.642614
-38.595573   -33.181725    -27.890106  -24.591452   -23.6286057  -23.603125
-39.332310   -33.299007    -27.060446  -24.865849   -23.9772857  -23.802502
-39.122532   -33.409618    -26.117771  -23.446512   -23.4623157  -23.321217
-38.536705   -32.512337    -26.155722  -22.859173   -23.0149334  -23.406673
-37.323498   -32.218105    -26.042089  -22.978937   -22.1094176  -23.167065
-36.687878   -31.467442    -25.704975  -22.375250   -22.5770024  -22.625408
-36.301167   -31.549351    -26.594269  -21.898849   -21.6475524  -21.726759
-35.336426   -31.101721    -25.907703  -21.803808   -21.8063479  -21.627888
-36.032368   -30.981192    -25.707373  -21.803808   -21.8063479  -20.172543
-35.328465   -29.451237    -25.342463  -21.364300   -20.7981227  -20.603230
-34.826412   -29.504044    -24.348591  -21.354473   -20.3035817  -20.188335
-34.267651   -28.367441    -24.090023  -21.306728   -19.9558627  -20.876541
-33.373260   -27.603003    -25.206371  -21.088833   -18.2791657  -19.123867
-31.398266   -27.457418    -24.380468  -20.935326   -18.6950769  -18.113949
-31.372309   -27.503391    -24.105045  -20.243790   -18.6852829  -17.599081
-31.772488   -26.979675    -23.637051  -19.956482   -18.7162289  -17.592854
-30.526829   -26.974636    -22.562754  -19.520313   -18.2887559  -16.887852
-30.429493   -26.540155    -22.689110  -19.181044   -18.0625043  -16.551191
-30.381184   -26.573145    -21.641703  -18.784719   -17.8022313  -17.130514
-29.836658   -26.004023    -22.195616  -18.775356   -17.7973064  -16.783756
-29.564037   -25.978451    -22.079393  -18.263899   -17.9149864  -16.655300
-27.894909   -25.442951    -21.744986  -17.858776   -17.7214891  -16.832928
-27.849865   -25.448400    -20.960068  -17.794323   -17.9051691  -16.700527
-27.698307   -24.786840    -20.987722  -16.710030   -17.7864481  -16.259792
-27.074657   -24.421206    -21.463413  -17.017086   -17.5490461  -16.142160
-27.062550   -23.595367    -21.548092  -16.856339   -17.4630151  -16.167072
-26.541504   -23.187290    -21.401407  -16.480839   -16.3893781  -15.825325
-26.378368   -23.226061    -20.236736  -16.232361   -16.4575251  -15.444983
-26.104849   -22.633875    -20.141878  -16.284927   -16.0209081  -14.997824
-25.826803   -22.539806    -20.099628  -16.588642   -16.0388531  -14.687410
-25.445978   -22.617474    -19.737806  -16.235247   -16.0159851  -14.227791
-25.247349   -22.390184    -19.598532  -14.980120   -15.8384481  -13.935694
-25.204554   -22.332413    -19.434790  -15.014727   -15.0372901  -13.799498
-24.663950   -22.296232    -19.011185  -15.131709   -15.0161290  -13.459516
-23.578501   -22.205967    -18.863674  -14.839926   -14.9243490  -13.722841
-23.449110   -21.804802    -18.545399  -14.811777   -14.3218517  -13.269864
