sr40        sr50         sr60         sr70         sr80         sr90       
-36.242401 -39.538975   -37.839996   -39.080242   -36.926193   -32.989956 
-34.255447 -36.450157   -35.060101   -39.402824   -36.217190   -33.695885 
-30.617420 -34.910851   -34.863400   -37.253925   -35.301773   -33.761223 
-26.322643 -32.346027   -34.732342   -35.113190   -35.005753   -33.980621 
-24.501448 -30.997766   -32.978111   -34.438957   -32.707378   -33.980621 
-22.043173 -28.315241   -31.334778   -30.691494   -31.493465   -33.024109 
-19.906137 -26.786602   -30.150351   -30.233997   -31.493465   -33.877007 
-17.412670 -24.253712   -28.315327   -30.201477   -31.029240   -34.082058 
-16.435055 -23.559906   -25.767651   -28.341370   -29.971928   -34.690651 
-15.714696 -21.807812   -24.149618   -27.957682   -29.240860   -34.784386 
-14.295919 -20.783554   -23.531391   -27.876934   -27.870777   -33.824257 
-13.555084 -20.311792   -22.574657   -27.774036   -27.315472   -34.674477 
-13.182844 -18.828976   -21.217936   -26.332661   -26.964148   -34.139534 
-12.581526 -18.168362   -20.143888   -24.967258   -26.853598   -32.993816 
-12.247565 -17.335045   -18.767872   -24.181734   -26.379059   -33.288307 
-11.737517 -16.939325   -17.891788   -22.212049   -25.624252   -33.288307 
-10.835933 -15.602521   -17.758070   -22.419231   -26.508566   -33.243958 
-10.397227 -15.578532   -17.251219   -21.722349   -26.629627   -33.303116 
-10.153217 -14.606229   -15.967130   -21.528948   -26.525766   -32.594322 
-9.991129 -13.390635   -15.419772   -21.356628   -26.189905   -33.714863 
-9.589422 -12.705600   -15.368263   -21.035175   -26.020496   -32.727791 
-9.129782 -12.591032   -14.863472   -20.504272   -25.725521   -31.682892 
-9.069448 -12.265656   -14.472339   -19.693928   -25.041161   -31.641590 
-8.769857 -12.029980   -13.936251   -18.037077   -24.106604   -31.483789 
-8.561331 -11.613238   -13.571881   -18.031126   -24.633579   -31.253748 
-8.360457 -11.385281   -13.147204   -17.768850   -23.960423   -32.265594 
-8.308777 -11.153501   -12.613647   -17.682808   -24.016216   -31.742443 
-8.028077 -10.882608   -12.680948   -17.548498   -23.436644   -33.126194 
-7.984537 -10.744587   -12.271372   -16.889303   -23.007137   -33.389927 
-7.940445 -10.469193   -11.999853   -16.798338   -21.367987   -32.939610 
-7.819666 -10.270235   -11.908718   -16.900288   -21.384945   -32.939610 
-7.772048  -9.898005   -11.439567   -15.968161   -21.182819   -34.309536 
-7.671723  -9.649923   -11.311779   -15.421527   -20.862740   -34.265324 
-7.568099  -9.391095   -11.188991   -15.038851   -20.667500   -34.147427 
-7.549229  -9.331158   -10.954954   -14.925959   -20.736776   -34.052341 
-7.442426  -9.128989   -10.840271   -14.868736   -20.729784   -34.338428 
-7.430233  -9.070745   -10.596065   -14.841475   -20.174501   -33.205971 
-7.399844  -8.968857   -10.503284   -14.536623   -19.999069   -32.427650 
-7.371459  -8.937099   -10.230229   -13.856671   -19.236851   -32.165771 
-7.337272  -8.839976   -10.102440   -13.328609   -18.361395   -31.738810 
-7.309461  -8.812095    -9.884772   -12.786904   -18.347162   -31.730534 
-7.262057  -8.740890    -9.573202   -12.464941   -18.089912   -31.540668 
-7.224015  -8.649221    -9.541748   -12.507363   -17.075771   -31.047928 
-7.193268  -8.345704    -9.446207   -12.451295   -16.760757   -30.834589 
-7.185084  -8.143963    -9.416948   -12.298304   -16.268753   -28.768925 
-7.179255  -8.074362    -9.276091   -12.066595   -15.992514   -28.635260 
-7.170757  -8.059418    -8.979945   -11.892406   -15.975264   -29.329498 
-7.164320  -7.791267    -8.806040   -11.937508   -15.763342   -29.360943 
-7.148904  -7.767605    -8.745413   -11.635258   -15.794698   -28.391193 
-7.135863  -7.743865    -8.645195   -11.100333   -15.171153   -28.426449 
-7.126817  -7.727957    -8.587934   -10.869040   -14.651608   -28.111572 
-7.114632  -7.665558    -8.474825   -11.002583   -14.649752   -25.440857 
-7.110993  -7.639806    -8.453138   -10.991365   -14.654436   -25.529989 
-7.107334  -7.567484    -8.240758   -10.806110   -14.838709   -25.364491 
-7.078641  -7.560368    -8.266300   -10.906683   -14.585475   -25.449894 
-7.075363  -7.551404    -8.230461   -10.801744   -14.937500   -25.880962 
-7.076057  -7.485976    -8.087866   -10.720250   -14.941849   -25.717081 
-7.067136  -7.422118    -8.090088   -10.444018   -14.743036   -25.712687 
-7.066015  -7.385761    -7.994854   -10.148836   -14.129331   -25.411739 
-7.063442  -7.373971    -7.941694   -10.082056   -14.062085   -25.983765 
